Location_ID,Location_Name_PT,ISO_3166_1,Country_Region_PT,Adm1_Name_PT,Adm2_Name_PT,Timezone,Latitude,Longitude
E85EA,Rio Grande da Serra,BR,Brazil,São Paulo,Rio Grande da Serra,America/Sao_Paulo,-23.74417,-46.39833
E4471,Panambi,BR,Brazil,Rio Grande do Sul,Panambi,America/Sao_Paulo,-28.29278,-53.50195
35E49,Pedreira,BR,Brazil,São Paulo,Pedreira,America/Sao_Paulo,-22.74194,-46.90139
64D7F,Amontada,BR,Brazil,Ceará,Amontada,America/Fortaleza,-3.36083,-39.83083
BA11A,Simão Dias,BR,Brazil,Sergipe,Simão Dias,America/Maceio,-10.73800,-37.80900
CD9FF,Santa Maria de Jetibá,BR,Brazil,Espírito Santo,Santa Maria de Jetibá,America/Sao_Paulo,-20.02900,-40.74200
41042,Salto de Pirapora,BR,Brazil,São Paulo,Salto de Pirapora,America/Sao_Paulo,-23.64889,-47.57333
BF902,Vargem Grande,BR,Brazil,Maranhão,Vargem Grande,America/Fortaleza,-3.54306,-43.91583
9B997,Guaratuba,BR,Brazil,Paraná,Guaratuba,America/Sao_Paulo,-25.88278,-48.57500
59C22,Uruaçu,BR,Brazil,Goiás,Uruaçu,America/Sao_Paulo,-14.52500,-49.14084
3AE21,Vera Cruz,BR,Brazil,Bahia,Vera Cruz,America/Bahia,-12.93600,-38.61900
DC01,Curuçá,BR,Brazil,Pará,Curuçá,America/Belem,-0.73300,-47.85100
8A154,Paraíba do Sul,BR,Brazil,Rio de Janeiro,Paraíba do Sul,America/Sao_Paulo,-22.16200,-43.29000
8BDB2,Mata de São João,BR,Brazil,Bahia,Mata de São João,America/Bahia,-12.53000,-38.29889
534B,Santos Dumont,BR,Brazil,Minas Gerais,Santos Dumont,America/Sao_Paulo,-21.45667,-43.55250
541E6,Marialva,BR,Brazil,Paraná,Marialva,America/Sao_Paulo,-23.48500,-51.79194
29E8D,Paracambi,BR,Brazil,Rio de Janeiro,Paracambi,America/Sao_Paulo,-22.60861,-43.71278
AAF14,Laguna,BR,Brazil,Santa Catarina,Laguna,America/Sao_Paulo,-28.48278,-48.78083
1BA9A,Guajará-Mirim,BR,Brazil,Rondônia,Guajará-Mirim,America/Porto_Velho,-10.77400,-65.32400
39071,Macaúbas,BR,Brazil,Bahia,Macaúbas,America/Bahia,-13.01889,-42.69889
DE01C,Santo Antônio de Pádua,BR,Brazil,Rio de Janeiro,Santo Antônio de Pádua,America/Sao_Paulo,-21.53600,-42.17800
BBB70,Arcos,BR,Brazil,Minas Gerais,Arcos,America/Sao_Paulo,-20.28194,-45.53944
